Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
430	10892	Oviedo, Johan	BOS	P	529.14	243	618		526		
431	12472	Miller, Aidan	PHI	SS	529.77	264	644		471		
432	9795	Jansen, Danny	TEX	C	530.64	231	620		515		
433	11634	Roupp, Landen	SF	P	532.73	288	538		509		
434	10183	Kremer, Dean	BAL	P	533.09	259	581		511		
435	12478	White, Thomas	MIA	P	534.30	238	597		489		
436	10189	May, Dustin	STL	P	534.64	285	623		527		
437	10446	Thomas, Lane	KC	OF	535.58	265	572		507		
438	12479	Emerson, Colt	SEA	SS	537.48	288	604		483		
439	10123	Morejon, Adrian	SD	P	538.13	210	609		515		
440	12194	Moore, Christian	LAA	2B	539.40	293	570		485		
441	8951	Berrios, Jose	TOR	P	540.78	298	576		515		
442	12241	Clarke, Denzel	ATH	OF	541.18	269	599		482		
443	10287	Liberatore, Matthew	STL	P	541.41	292	576		505		
444	8643	Baez, Javier	DET	3B, SS, OF	541.42	265	563		499		
445	8958	Severino, Luis	ATH	P	541.99	275	553		507		
446	12010	Nunez, Nasim	WAS	SS	544.90	305	639		474		
447	11193	Wells, Tyler	BAL	P	547.16	309	597		496		
448	11662	Ferrer, Jose A.	SEA	P	548.65	158	740		485		
449	9430	Weaver, Luke	NYM	P	550.14	257	630		491		
450	10147	Garrett, Braxton	MIA	P	550.86	321	732		509		
451	11395	Faucher, Calvin	MIA	P	551.07	135	684		494		
452	11868	Boyle, Joe	TB	P	552.36	252	591		490		
453	12097	Sterner, Justin	ATH	P	553.07	237	748		488		
454	10999	Meyers, Jake	HOU	OF	553.64	279	596		480		
455	11614	Acuna, Luisangel	CWS	2B	553.87	223	750		462		
456	10379	Rocchio, Brayan	CLE	2B, SS	555.22	325	594		475		
457	9470	Higashioka, Kyle	TEX	C	557.30	286	595		494		
458	9677	Maton, Phil	CHC	P	557.36	275	647		480		
459	12482	Mack, Joe	MIA	C	557.77	123	559		470		
460	11371	Henriquez, Ronny	MIA	P	558.98	198	750		387		
461	12024	Williams, Carson	TB	SS	560.53	274	588		472		
462	11105	Doval, Camilo	NYY	P	561.86	236	602		481		
463	11266	Latz, Jacob	TEX	P	566.39	273	600		484		
464	9802	Dubon, Mauricio	ATL	2B, 3B, SS, OF	567.53	290	688		483		
465	11632	Abel, Mick	MIN	P	567.70	268	599		492		
466	5420	Verlander, Justin	DET	P	567.91	274	669		498		
467	12214	Kim, Hyeseong	LAD	2B	569.02	291	603		471		
468	9523	Andujar, Miguel	SD	3B, OF	570.30	281	628		477		
469	10356	Freeman, Tyler	COL	OF	570.46	278	621		471		
470	11297	Brash, Matt	SEA	P	570.63	266	604		472		
471	12128	Baldwin, Brooks	CWS	OF	571.26	269	667		469		
472	9706	Kittredge, Andrew	BAL	P	571.89	217	738		456		
473	10245	Bart, Joey	PIT	C	572.36	118	599		476		
474	10468	Holmes, Grant	ATL	P	573.01	257	683		488		
475	12198	Sproat, Brandon	MLW	P	573.34	286	670		463		
476	12266	Svanson, Matt	STL	P	573.43	260	733		459		
477	10226	McCarthy, Jake	COL	OF	574.23	261	748		453		
478	9800	Burnes, Corbin	ARZ	P	575.01	70	727		467		
479	9175	Houser, Adrian	SF	P	575.02	291	688		477		
480	8126	Goldschmidt, Paul	NYY	1B	575.11	294	668		482		
481	12137	McGreevy, Michael	STL	P	575.19	273	622		487		
482	10262	Hayes, Ke'Bryan	CIN	3B	576.94	324	599		472		
483	9725	Hoskins, Rhys	MLW	1B	579.43	325	597		463		
484	10200	Arias, Gabriel	CLE	2B, SS	580.08	349	603		470		
485	11755	Burke, Sean	CWS	P	580.67	325	593		475		
486	11926	House, Brady	WAS	3B	581.60	275	595		466		
487	12216	Bazzana, Travis	CLE	2B	584.43	288	640		449		
488	9475	Gurriel Jr., Lourdes	ARZ	OF	585.17	254	744		471		
489	12502	Baez, Joshua	STL	OF	585.59	333	710		426		
490	12040	Jenkins, Walker	MIN	OF	589.63	303	669		443		
491	12301	Muncy, Max	ATH	2B, 3B	589.78	265	596		461		
492	12435	Kayfus, CJ	CLE	OF	591.12	331	629		447		
493	12477	Waldschmidt, Ryan	ARZ	OF	591.41	307	713		442		
494	10309	Smith, Pavin	ARZ	1B	591.50	360	597		460		
495	11943	Hicks, Liam	MIA	1B, C	591.57	305	617		463		
496	11905	Johnston, Troy	COL	OF	592.19	326	614		440		
497	10203	Lux, Gavin	TB	OF	593.49	314	694		459		
498	12046	Melton, Jacob	TB	OF	593.64	261	707		442		
499	9225	Rogers, Taylor	MIN	P	595.28	200	745		334		
500	12461	Cole, Zach	HOU	OF	595.49	223	629		438		
501	8748	Martinez, Nick	TB	P	595.88	291	728		468		
502	12183	Rocker, Kumar	TEX	P	598.02	305	615		463		
503	9977	Mountcastle, Ryan	BAL	1B	598.91	326	639		447		
504	11933	Lowder, Rhett	CIN	P	601.02	321	676		450		
505	10880	Pages, Pedro	STL	C	606.36	304	727		447		
506	9936	Keller, Brad	PHI	P	607.14	258	716		431		
507	11754	Joyce, Ben	LAA	P	607.73	280	682		434		
508	9921	Erceg, Lucas	KC	P	608.40	214	636		419		
509	8632	Rodriguez, Eduardo	ARZ	P	608.96	382	694		454		
510	12329	Rodriguez, Elmer	NYY	P	610.74	334	672		435		
511	9124	Rea, Colin	CHC	P	610.80	337	708		448		
512	12047	Jones, Spencer	NYY	OF	612.34	275	746		429		
513	12592	Song, Sung-Mun	SD	3B	612.78	239	738		403		
514	11204	Mitchell, Garrett	MLW	OF	612.92	328	670		420		
515	10833	Martin, Austin	MIN	OF	613.54	350	607		414		
516	11637	Lukes, Nathan	TOR	OF	613.98	323	701		443		
517	12189	Condon, Charlie	COL	1B	614.68	333	710		439		
518	11743	Schmitt, Casey	SF	2B, 3B	615.02	336	676		418		
519	11923	Williams, Jett	MLW	SS	615.89	244	722		421		
520	11924	Povich, Cade	BAL	P	616.84	329	699		425		
521	8689	Matz, Steven	TB	P	617.30	301	749		410		
522	10296	Lowe, Nathaniel	BOS	1B	617.81	251	731		428		
523	11912	Scott, Christian	NYM	P	619.84	346	690		422		
524	10748	Griffin, Foster	WAS	P	619.94	155	733		418		
525	11154	Morel, Christopher	MIA	OF	620.61	331	735		431		
526	10142	Alexander, Blaze	BAL	3B	621.39	364	702		421		
527	12177	Sanoja, Javier	MIA	2B, 3B, OF	621.54	333	706		428		
528	11935	Brown, Ben	CHC	P	622.78	310	676		413		
529	11624	Gelof, Zack	ATH	2B	624.64	341	744		412		
530	11895	Saggese, Thomas	STL	2B, SS	625.00	337	706		422		
531	10662	Ginkel, Kevin	ARZ	P	625.01	255	750		377		
532	11038	Gonzales, Nick	PIT	2B	626.46	306	627		398		
533	8979	Moncada, Yoan	LAA	3B	627.38	303	740		411		
534	10372	Ashby, Aaron	MLW	P	630.11	295	714		426		
535	11350	Diaz, Alexis	TEX	P	630.36	234	748		388		
536	11364	Sands, Cole	MIN	P	630.69	316	719		407		
537	10126	Thomas, Alek	ARZ	OF	632.90	375	636		411		
538	12249	Young, Cole	SEA	2B	633.45	349	748		394		
539	10210	Conine, Griffin	MIA	OF	633.53	315	730		389		
540	6837	Scherzer, Max	TOR	P	634.41	341	706		409		
541	11424	Varland, Louis	TOR	P	636.60	244	747		398		
542	12250	Tawa, Tim	ARZ	1B, OF, 2B	636.68	343	668		400		
543	11597	Harrison, Kyle	MLW	P	637.19	350	724		397		
544	9788	Bauers, Jake	MLW	OF, 1B	638.98	375	722		381		
545	12161	Ginn, J.T.	ATH	P	639.43	358	675		374		
546	10705	Heim, Jonah	ATL	C	640.02	302	713		384		
547	12279	Garcia, Jhostynxon	PIT	OF	640.52	287	733		392		
548	10318	Mauricio, Ronny	NYM	3B	641.10	315	646		357		
549	9863	Kiner-Falefa, Isiah	BOS	3B, SS	641.87	310	713		405		
550	11331	Veen, Zac	COL	OF	642.81	318	730		363		
551	11822	Leahy, Kyle	STL	P	643.16	294	695		383		
552	11742	Davis, Henry	PIT	C	643.85	299	718		389		
553	8633	Harvey, Hunter	CHC	P	644.79	316	750		365		
554	12403	Hernandez, Heriberto	MIA	OF	644.96	351	668		358		
555	10838	Bleday, JJ	CIN	OF	646.40	381	741		376		
556	11283	Crawford, Kutter	BOS	P	647.39	244	712		373		
557	12169	Halvorsen, Seth	COL	P	648.37	289	738		344		
558	11528	Gaddis, Hunter	CLE	P	648.63	345	706		385		
559	11745	Gasser, Robert	MLW	P	650.17	358	699		365		
560	12367	Clark, Max	DET	OF	650.18	344	707		364		
561	9205	Strahm, Matt	KC	P	650.56	303	746		400		
562	9648	Leiter Jr., Mark	ATH	P	653.40	272	715		341		
563	12192	Mathews, Quinn	STL	P	653.66	376	744		380		
564	11910	Ryan, River	LAD	P	653.83	327	745		379		
565	12345	Perkins, Jack	ATH	P	654.69	313	738		351		
566	9123	Armstrong, Shawn	CLE	P	654.73	173	736		370		
567	11592	Julien, Edouard	COL	1B, 2B	655.92	302	750		311		
568	10764	Raley, Luke	SEA	1B, OF	656.20	411	731		352		
569	12014	Fitts, Richard	STL	P	657.20	359	747		360		
570	9557	Sosa, Edmundo	PHI	2B, 3B	657.65	356	733		369		
571	12199	Thomas, Colby	ATH	OF	657.83	341	638		320		
572	11401	Sears, JP	SD	P	658.09	419	715		354		
573	12355	Matthews, Brice	HOU	2B	658.16	243	694		315		
574	10694	Kay, Anthony	CWS	P	659.72	316	732		337		
575	12209	Dollander, Chase	COL	P	664.13	348	744		374		
576	11965	Amador, Adael	COL	2B	664.84	336	750		304		
577	12346	Walcott, Sebastian	TEX	SS	665.68	353	740		328		
578	12450	Crooks, Jimmy	STL	C	665.89	271	724		322		
579	10024	Lauer, Eric	TOR	P	666.66	240	724		336		
580	8688	Pederson, Joc	TEX	UT	668.13	361	675		309		
581	11906	Quero, Jeferson	MLW	C	668.28	142	729		333		
582	11650	Harris, Hogan	ATH	P	668.71	242	747		318		
583	11810	Mlodzinski, Carmen	PIT	P	669.93	412	749		318		
584	10518	Romano, Jordan	LAA	P	669.94	271	737		339		
585	12389	Blubaugh, AJ	HOU	P	671.90	350	743		311		
586	8768	Martin, Chris	TEX	P	672.84	315	735		287		
587	9892	Soto, Gregory	PIT	P	673.83	271	739		312		
588	12288	Bergert, Ryan	KC	P	673.89	341	747		319		
589	11838	Schneider, Davis	TOR	2B, OF	674.23	326	741		312		
590	11856	Saalfrank, Andrew	ARZ	P	674.29	265	750		262		
591	11531	Grissom, Vaughn	LAA	2B	674.39	331	747		300		
592	12124	Wrobleski, Justin	LAD	P	674.71	360	748		317		
593	11375	Weiss, Ryan	HOU	P	676.30	310	749		309		
594	11990	Rodriguez, Emmanuel	MIN	OF	676.93	267	750		315		
595	11736	Encarnacion-Strand, Christian	CIN	1B	677.44	343	738		300		
596	12473	Ritchie, JR	ATL	P	678.28	345	739		317		
597	11629	Yoshida, Masataka	BOS	UT	679.21	316	735		290		
598	11986	McDonald, Trevor	SF	P	680.79	359	750		300		
599	11954	Pauley, Graham	MIA	3B	681.00	333	746		291		
600	12026	Birdsong, Hayden	SF	P	681.91	374	739		293		
601	11289	Fortes, Nick	TB	C	681.96	385	747		303		
602	10234	Jackson, Jeremiah	BAL	OF	683.03	242	746		301		
603	9779	Kopech, Michael	LAD	P	684.77	267	742		284		
604	10854	Manoah, Alek	LAA	P	685.28	328	745		324		
605	11675	Martinez, Angel	CLE	2B, OF	685.80	380	718		289		
606	11307	Elder, Bryce	ATL	P	686.38	291	750		312		
607	10725	Rogers, Tyler	TOR	P	687.89	256	747		279		
608	11863	Gipson-Long, Sawyer	DET	P	688.05	338	750		284		
609	12181	Wagaman, Eric	MIN	1B, OF	688.34	398	746		286		
610	12481	Wiggins, Jaxon	CHC	P	688.38	399	748		294		
611	12360	Barco, Hunter	PIT	P	688.49	389	743		296		
612	11792	Bradford, Cody	TEX	P	688.78	400	740		286		
613	11846	Young, Jacob	WAS	OF	689.88	345	748		299		
614	11280	Junk, Janson	MIA	P	690.26	336	748		277		
615	11855	Phillips, Connor	CIN	P	690.61	330	740		274		
616	11681	DeLuca, Jonny	TB	OF	691.34	322	749		262		
617	10225	Fraley, Jake	TB	OF	691.68	457	731		271		
618	12369	Lord, Brad	WAS	P	691.72	387	750		283		
619	12197	Schultz, Noah	CWS	P	692.48	383	748		310		
620	9642	Sewald, Paul	ARZ	P	692.84	252	750		164		
621	12009	Kolek, Stephen	KC	P	693.25	322	749		265		
622	10784	Vesia, Alex	LAD	P	694.19	321	748		287		
623	10345	Myers, Tobias	NYM	P	695.52	414	729		272		
624	9583	Anderson, Drew	DET	P	695.99	355	744		247		
625	11902	Festa, David	MIN	P	697.32	440	740		276		
626	9764	Buehler, Walker	PHI	P	697.79	284	750		284		
627	11046	Hassell III, Robert	WAS	OF	698.10	342	743		242		
628	12439	Karros, Kyle	COL	3B	698.85	428	737		245		
629	11126	Topa, Justin	MIN	P	698.89	353	750		262		
630	8807	Rojas, Miguel	LAD	3B, 2B, SS	699.60	438	748		270		
631	10640	Civale, Aaron	ATH	P	700.45	425	750		257		
632	12485	Ortiz, Abimelec	WAS	1B	700.98	416	750		239		
633	11403	Jameson, Drey	ARZ	P	701.52	344	747		270		
634	9515	Alvarado, Jose	PHI	P	701.58	282	750		270		
635	10937	Wong, Connor	BOS	C	702.00	335	749		269		
636	11470	Martin, Davis	CWS	P	702.61	306	748		255		
637	10425	Palacios, Richie	TB	OF	702.87	398	740		230		
638	9792	Puk, A.J.	ARZ	P	703.15	397	748		200		
639	11412	Allen, Logan	CLE	P	703.73	387	749		264		
640	12098	Schneemann, Daniel	CLE	2B, 3B, OF	703.92	431	749		250		
641	12484	Jump, Gage	ATH	P	703.95	327	749		263		
642	12483	Anderson, Kade	SEA	P	704.12	423	749		275		
643	8280	Quintana, Jose	COL	P	704.41	439	749		261		
644	12338	Kemp, Otto	PHI	3B	704.99	386	749		231		
645	10205	Valera, George	CLE	UT	705.09	419	735		245		
646	11621	Montgomery, Mason	PIT	P	706.13	340	750		258		
647	10955	Walls, Taylor	TB	SS	706.54	426	746		231		
648	11677	Vasquez, Randy	SD	P	707.12	265	750		233		
649	8947	Newcomb, Sean	CWS	P	707.29	450	750		238		
650	8659	McCullers Jr., Lance	HOU	P	707.43	439	738		242		
651	11678	Matos, Luis	SF	OF	707.49	391	746		219		
652	11223	Vierling, Matt	DET	OF	707.54	317	748		225		
653	8189	Pomeranz, Drew	LAA	P	707.74	321	749		243		
654	10193	Ruiz, Esteury	MIA	OF	708.25	352	738		212		
655	10853	Baker, Bryan	TB	P	709.08	330	750		251		
656	12476	Culpepper, Kaelen	MIN	SS	709.54	467	750		239		
657	10308	Sandoval, Patrick	BOS	P	709.72	309	750		242		
658	11952	Loperfido, Joey	HOU	OF	710.17	414	748		212		
659	11605	Tiedemann, Ricky	TOR	P	710.20	448	749		239		
660	12406	Ritter, Ryan	COL	2B, SS	710.69	433	749		224		
661	8895	Garcia, Yimi	TOR	P	710.81	343	749		232		
662	12144	Del Castillo, Adrian	ARZ	UT	711.01	411	750		212		
663	11606	Mead, Curtis	CWS	1B, 3B	711.21	434	750		232		
664	11645	Hamilton, David	MLW	2B	711.77	340	750		197		
665	11516	Massey, Michael	KC	2B	711.79	328	748		236		
666	9028	Lorenzen, Michael	COL	P	712.27	320	750		224		
667	8212	Sanchez, Gary	MLW	C	712.40	445	750		218		
668	11043	Campusano, Luis	SD	UT	714.24	305	750		215		
669	11789	Fry, David	CLE	UT	714.98	329	749		223		
670	11797	Monasterio, Andruw	BOS	SS	716.42	462	750		196		
671	9172	Kepler, Max	PHI	OF	716.68	426	750		140		
672	12489	Ingle, Cooper	CLE	C	717.01	457	748		207		
673	10362	Benson, Will	CIN	OF	717.04	443	749		218		
674	11876	Kerkering, Orion	PHI	P	717.77	328	749		232		
675	12231	Freeland, Alex	LAD	3B	717.98	412	749		210		
676	7514	Santana, Carlos	ARZ	1B	718.66	398	745		146		
677	12496	Rada, Nelson	LAA	OF	718.74	339	748		212		
678	8954	Conforto, Michael	CHC	OF	719.65	464	749		208		
679	11557	Cruz, Fernando	NYY	P	719.89	479	746		227		
680	12034	Crim, Blaine	COL	1B	719.89	430	748		192		
681	10661	Clase, Emmanuel	CLE	P	720.04	84	725		79		
682	12486	Gibson, Trey	BAL	P	720.40	467	749		202		
683	11423	Henry, Cole	WAS	P	721.37	354	750		179		
684	12445	Peguero, Joel	SF	P	722.22	407	747		181		
685	10524	Akin, Keegan	BAL	P	722.81	317	750		150		
686	11587	Stone, Gavin	LAD	P	723.24	351	748		201		
687	10025	Adam, Jason	SD	P	723.81	363	750		194		
688	8897	McCann, James	ARZ	C	723.88	506	749		187		
689	9862	Trevino, Jose	CIN	C	724.06	420	746		196		
690	11370	Duran, Ezequiel	TEX	1B, SS	724.17	493	750		187		
691	9500	Rosario, Amed	NYY	3B	724.48	450	746		195		
692	12517	McDougal, Tanner	CWS	P	724.55	539	745		202		
693	12300	Osuna, Alejandro	TEX	OF	724.72	464	748		186		
694	11417	Ashcraft, Graham	CIN	P	725.49	462	750		186		
695	9524	Mateo, Jorge	ATL	SS	725.50	367	747		143		
696	11920	Hernaiz, Darell	ATH	3B, SS	725.71	473	750		186		
697	12220	Klassen, George	LAA	P	726.56	487	750		191		
698	9807	Yarbrough, Ryan	NYY	P	726.72	435	749		174		
699	10444	Moore, Dylan	TEX	2B, OF	726.83	470	750		177		
700	10688	Speier, Gabe	SEA	P	727.06	336	750		175		
701	10209	Canning, Griffin	SD	P	727.08	484	747		156		
702	12352	Made, Jesus	MLW	SS	727.13	313	750		138		
703	12299	De Vries, Leodalis	ATH	SS	727.28	314	749		155		
704	10304	Jones, Nolan	CLE	OF	727.36	401	749		183		
705	7538	Flores, Wilmer	SF	1B	727.74	393	750		146		
706	10485	France, Ty	TOR	1B	727.75	386	750		171		
707	10406	Alcantara, Kevin	CHC	OF	727.91	416	750		177		
708	9600	Torrens, Luis	NYM	C	727.97	415	748		186		
709	12440	Gilbert, Drew	SF	OF	727.97	446	750		164		
710	11442	Pallante, Andre	STL	P	728.05	472	750		176		
711	11145	Yorke, Nick	PIT	2B	729.30	408	750		157		
712	11956	Whisenhunt, Carson	SF	P	729.41	421	750		166		
713	12444	Church, Nathan	STL	OF	729.87	463	750		163		
714	10408	Isbel, Kyle	KC	OF	729.88	399	750		165		
715	11080	Toglia, Michael	COL	1B	730.16	307	749		128		
716	12340	Alvarado, Elvis	ATH	P	730.22	350	749		147		
717	10246	Wentz, Joey	ATL	P	730.27	339	749		139		
718	11771	Kjerstad, Heston	BAL	OF	730.29	447	749		153		
719	11379	Bautista, Felix	BAL	P	730.77	155	745		64		
720	9894	Estrada, Thairo	COL	2B	730.78	399	749		120		
721	11988	Teng, Kai-Wei	HOU	P	730.91	430	750		148		
722	10499	Lawrence, Justin	PIT	P	730.95	428	750		169		
723	12491	Lagrange, Carlos	NYY	P	731.03	456	750		139		
724	10161	Paddack, Chris	MIA	P	731.05	382	750		122		
725	12280	Dobbins, Hunter	STL	P	731.55	335	749		150		
726	12511	Anderson, Max	DET	2B	731.84	442	749		126		
727	12196	Smith, Hagen	CWS	P	731.98	436	749		162		
728	12415	Fuentes, Didier	ATL	P	732.33	472	750		153		
729	12131	Hopkins, Brody	TB	P	732.34	467	749		170		
730	8941	Freeland, Kyle	COL	P	732.42	452	750		92		
731	12378	Fulford, Braxton	COL	C	732.78	464	750		137		
732	12475	Clifford, Ryan	NYM	1B	733.03	405	750		134		
733	10976	Irvin, Jake	WAS	P	733.59	460	748		118		
734	12488	Briceno, Josue	DET	C	733.76	380	750		121		
735	12521	Montgomery, Braden	CWS	OF	734.14	436	750		135		
736	10842	Lee, Dylan	ATL	P	734.25	331	749		130		
737	9549	Garver, Mitch	SEA	C	734.44	391	750		135		
738	10839	Encarnacion, Jerar	SF	OF	734.56	325	750		155		
739	12159	Casparius, Ben	LAD	P	734.70	449	746		136		
740	10259	Gray, Josiah	WAS	P	734.77	339	749		138		
741	12487	Doyle, Liam	STL	P	735.16	377	750		113		
742	12512	Bratt, Mitch	ARZ	P	735.89	476	750		148		
743	12307	Ward, Ryan	LAD	OF	736.19	398	750		128		
744	10445	Urias, Ramon	STL	2B, 3B	736.42	463	748		145		
745	9938	Kinley, Tyler	ATL	P	736.84	363	749		96		
746	12219	Fernandez, Yanquiel	NYY	OF	737.22	442	747		99		
747	11651	Bernabel, Warming	COL	1B	737.54	492	750		104		
748	10960	Thompson, Ryan	ARZ	P	737.60	430	749		83		
749	9644	Jimenez, Joe	ATL	P	737.86	321	739		49		
750	11547	Assad, Javier	CHC	P	737.94	418	750		131		
751	12210	Roden, Alan	MIN	OF	738.21	418	749		124		
752	11820	Myers, Dane	CIN	OF	738.37	491	750		139		
753	11984	Perales, Luis	WAS	P	738.39	456	748		110		
754	12501	Rodriguez, Jesus	SF	C	738.95	543	749		120		
755	11399	Outman, James	MIN	OF	738.97	448	750		132		
756	11850	Funderburk, Kody	MIN	P	739.32	438	750		91		
757	12493	Pecko, Ethan	HOU	P	739.52	522	750		113		
758	11615	De Los Santos, Deyvison	MIA	1B	739.61	547	750		115		
759	12213	Bradfield, Enrique	BAL	OF	739.65	496	749		84		
760	9923	Barlow, Scott	ATH	P	739.68	359	750		77		
761	10926	Espino, Daniel	CLE	P	739.82	424	750		101		
762	12392	Tidwell, Blade	SF	P	739.92	459	750		111		
763	11847	Wicks, Jordan	CHC	P	739.99	450	750		72		
764	10167	Winn, Cole	TEX	P	740.09	281	749		79		
765	8929	Refsnyder, Rob	SEA	OF	740.29	495	749		109		
766	12377	Williamson, Ben	TB	3B	740.84	522	749		96		
767	10645	Urquidy, Jose	PIT	P	740.92	383	747		85		
768	12514	Valdez, Esmerlyn	PIT	OF	740.94	444	750		75		
769	9880	Tellez, Rowdy	TEX	1B	740.96	494	748		90		
770	11584	Rodriguez, Endy	PIT	1B	741.12	455	745		78		
771	11941	Bliss, Ryan	SEA	2B	741.17	454	750		93		
772	11719	Perkins, Blake	MLW	OF	741.34	460	748		98		
773	8919	Pham, Tommy	PIT	OF	741.36	485	744		98		
774	12232	Prielipp, Connor	MIN	P	741.57	432	750		99		
775	12498	Johnson, Ty	TB	P	741.70	514	750		107		
776	11148	Sugano, Tomoyuki	COL	P	741.88	433	750		67		
777	10112	Means, John	CLE	P	742.08	499	744		52		
778	9295	Marquez, German	SD	P	742.15	407	750		56		
779	11980	Hodge, Porter	CHC	P	742.36	485	750		94		
780	9819	Mikolas, Miles	WAS	P	742.46	496	743		51		
781	12273	Strowd, Kade	ARZ	P	742.55	358	750		61		
782	12171	Dana, Caden	LAA	P	742.59	448	750		85		
783	8210	Darvish, Yu	SD	P	742.62	357	747		29		
784	9734	Minter, A.J.	NYM	P	742.71	323	750		61		
785	10197	Pereira, Everson	CWS	OF	742.81	389	750		79		
786	12348	Susana, Jarlin	WAS	P	742.82	460	750		86		
787	10223	Jones, Jahmai	DET	OF	742.84	534	749		65		
788	8686	Austin, Tyler	CHC	1B	742.85	502	750		81		
789	9646	Montgomery, Jordan	TEX	P	743.18	472	747		73		
790	12030	Rodriguez, Hector	CIN	OF	743.23	416	749		76		
791	11762	Flores Jr., Rafael	PIT	1B	743.57	282	744		69		
792	11156	Peraza, Oswald	LAA	3B	743.99	472	750		73		
793	11262	Pozo, Yohel	STL	C	744.02	526	749		72		
794	9934	Cortes, Nestor	SD	P	744.05	412	744		29		
795	8418	Walker, Taijuan	PHI	P	744.10	420	750		46		
796	12492	Saiki, Hiroto	FA	P	744.14	397	745		30		
797	9698	Tauchman, Mike	CWS	OF	744.31	367	749		67		
798	11874	Fitzgerald, Tyler	SF	2B	744.34	427	748		68		
799	12111	King, Bryan	HOU	P	744.38	242	749		56		
800	12518	Alderman, Kemp	MIA	OF	744.40	517	749		63		
801	11904	Vasil, Mike	CWS	P	744.47	501	750		77		
802	9828	Wynns, Austin	ATH	C	744.50	517	750		74		
803	12290	Acosta, Maximo	MIA	3B	744.53	537	747		65		
804	11975	Mejia, Juan	COL	P	744.59	406	749		66		
805	11459	Holton, Tyler	DET	P	744.66	262	750		42		
806	11073	Miller, Bobby	LAD	P	744.72	418	749		78		
807	11172	Zerpa, Angel	MLW	P	744.74	546	750		71		
808	12519	Crow, Coleman	MLW	P	744.75	549	749		60		
809	10187	Hall, DL	MLW	P	744.78	475	750		92		
810	11994	Corniell, Jose	TEX	P	744.81	471	750		45		
811	12503	Susac, Daniel	SF	C	744.90	340	750		65		
812	11776	Fermin, Jose	STL	2B	745.05	536	749		72		
813	12277	Avila, Luinder	KC	P	745.08	544	745		34		
814	10691	Heineman, Tyler	TOR	C	745.09	462	750		48		
815	12323	Sykora, Travis	WAS	P	745.18	392	748		27		
816	11064	Marchan, Rafael	PHI	C	745.29	521	737		44		
817	8211	d'Arnaud, Travis	LAA	C	745.31	453	750		66		
818	9387	Frazier, Adam	KC	2B, OF	745.33	371	750		55		
819	12129	Alvarez Jr., Nacho	ATL	3B	745.37	435	748		53		
820	12626	Rumfield, T.J.	NYY	1B	745.40	493	747		43		
821	9519	Stanek, Ryne	STL	P	745.41	418	742		40		
822	12145	Dezenzo, Zach	HOU	OF	745.42	422	750		62		
823	8272	Corbin, Patrick	TEX	P	745.64	521	750		49		
824	10165	Schmidt, Clarke	NYY	P	745.84	568	747		52		
825	10295	Pearson, Nate	HOU	P	746.05	470	748		37		
826	12164	Zeferjahn, Ryan	LAA	P	746.06	525	748		49		
827	8835	Hernandez, Enrique	LAD	1B, 3B, OF	746.11	521	750		72		
828	12528	Torres, Bryan	STL	OF	746.11	450	747		62		
829	11400	Butto, Jose	SF	P	746.19	441	747		43		
830	12546	White, Josh	MIA	P	746.22	495	750		52		
831	10531	Rogers, Jake	DET	C	746.27	462	749		49		
832	11130	Francis, Bowden	TOR	P	746.34	491	749		48		
833	12155	Sweeney, Trey	DET	SS	746.34	487	746		40		
834	12045	Petty, Chase	CIN	P	746.37	512	749		53		
835	12186	Henriquez, Edgardo	LAD	P	746.54	491	746		33		
836	12049	Locklear, Tyler	ARZ	1B	746.56	491	750		37		
837	12206	Maxwell, Zach	CIN	P	746.60	537	749		51		
838	12374	Tolbert, Tyler	KC	OF	746.60	454	745		30		
839	11205	Bender, Anthony	MIA	P	746.68	440	749		41		
840	12304	Montes, Lazaro 	SEA	OF	746.81	475	748		28		
841	10253	Miranda, Jose	MIN	3B	746.85	411	747		29		
842	8756	Treinen, Blake	LAD	P	746.87	469	750		38		
843	11780	Chaparro, Andres	WAS	1B	746.95	592	747		48		
844	11949	Salas, Ethan	SD	C	746.95	407	739		20		
845	11890	Black, Tyler	MLW	1B	747.00	512	749		36		
846	9719	Fedde, Erick	CWS	P	747.07	484	745		37		
847	12428	Freeman, Cody	TEX	2B	747.07	480	749		47		
848	12008	Slaten, Justin	BOS	P	747.11	478	750		54		
849	10114	Taylor, Tyrone	NYM	OF	747.18	593	750		42		
850	11916	Rodriguez, Yariel	TOR	P	747.19	490	749		51		
851	10734	Phillips, Tyler	MIA	P	747.29	320	750		30		
852	11157	Gomez, Yoendrys	TB	P	747.29	558	745		45		
853	10873	Hancock, Emerson	SEA	P	747.49	474	749		44		
854	12505	Arnold, Jamie	ATH	P	747.53	534	747		31		
855	12595	Troy, Tommy	ARZ	2B	747.53	490	748		37		
856	8170	Hendriks, Liam	BOS	P	747.65	544	749		38		
857	8645	Johnson, Pierce	CIN	P	747.65	505	748		37		
858	11945	Teodo, Emiliano	TEX	P	747.67	519	749		37		
859	8950	Arcia, Orlando	COL	2B, 3B, SS	747.73	538	741		31		
860	9817	Whitley, Forrest	TB	P	747.74	518	749		18		
861	11489	Koenig, Jared	MLW	P	747.75	528	744		34		
862	12296	Dreyer, Jack	LAD	P	747.82	432	750		34		
