Rank,Player,Trend,Avg Pos,Hi/Lo,Pct
467,Marcell Ozuna DH  PIT,-2,427.25,161/757,44.4
468,Edmundo Sosa 3B  PHI,-16,429,285/573,22.2
469,Carlos Narvaez C  BOS,-16,430,405/455,22.2
470,Lenyn Sosa 2B  CHW,-16,430.5,405/456,22.2
471,Luis Severino SP  ATH,47,432,292/592,33.3
472,Aroon Escobar 2B  PHI,-15,435,431/439,22.2
473,Tommy Edman 2B  LAD,-11,439,437/441,22.2
474,Franklin Arias SS  BOS,-11,440.5,438/443,22.2
475,Braxton Garrett SP  MIA,27,441.33,352/487,33.3
476,Quinn Mathews SP  STL,-12,441.5,411/472,22.2
477,Landen Roupp P  SF,133,441.75,272/587,44.4
478,Tanner Scott RP  LAD,2,443.67,156/784,33.3
479,Hye Seong Kim 2B  LAD,-13,446,403/489,22.2
480,Eduardo Rodriguez SP  ARI,60,446.33,285/543,33.3
481,Randy Vasquez RP  SD,90,447,351/543,22.2
482,Brady House 3B  WAS,-15,448,399/497,22.2
483,Jeffrey Springs SP  ATH,90,448.33,256/583,33.3
484,Nick Gonzales 2B  PIT,-16,448.5,404/493,22.2
485,Hunter Barco P  PIT,-15,450.5,402/499,22.2
486,Triston Casas 1B  BOS,-14,453,401/505,22.2
487,Zach McKinstry 3B  DET,-14,453.33,210/623,33.3
488,Emil Morales SS  LAD,-14,453.5,392/515,22.2
489,Cole Young SS  SEA,-13,454.5,427/482,22.2
490,Lars Nootbaar CF  STL,-13,456,198/700,33.3
491,George Valera CF  CLE,107,457,244/683,33.3
492,Logan Taylor Allen SP  CLE,21,457.67,383/570,33.3
493,Adrian Houser SP  SF,182,460.25,278/677,44.4
494,Carson Kelly C  CHC,164,461.33,158/767,33.3
495,Will Vest RP  DET,54,467,335/704,33.3
496,Kumar Rocker P  TEX,96,467.67,283/675,33.3
497,Jurrangelo Cijntje SP  STL,-16,471,463/479,22.2
498,Harrison Bader CF  SF,117,471.33,261/655,33.3
499,Kaelen Culpepper SS  MIN,-17,472,398/546,22.2
500,Michael McGreevy P  STL,38,472.67,366/549,33.3
501,Nate Lowe 1B  CIN,-16,475.5,206/745,22.2
502,Jesus Sanchez RF  TOR,-16,475.67,202/622,33.3
503,Ben Brown SP  CHC,34,476.33,378/586,33.3
504,Harry Ford C  WAS,-15,479,458/500,22.2
505,Jake Burger 3B  TEX,-15,479,467/491,22.2
506,Jacob Reimer 3B  NYM,-15,480.5,421/540,22.2
507,Jackson Ferris SP  LAD,-15,481,442/520,22.2
508,Michael Arroyo SS  SEA,-12,484.5,425/544,22.2
509,Victor Vodnik RP  COL,-12,485,292/678,22.2
510,Ryan McMahon 3B  NYY,-12,485.33,166/700,33.3
511,Dominic Canzone LF  SEA,-10,486,478/494,22.2
512,Ryan Clifford LF  NYM,-12,486,417/555,22.2
513,Tyler O'Neill LF  BAL,76,486.67,347/615,33.3
514,Arjun Nimmala SS  TOR,-11,487,397/577,22.2
515,Jonny DeLuca LF  TB,-11,489.5,448/531,22.2
516,Adrian Del Castillo C  ARI,-9,490.5,488/493,22.2
517,Robert Gasser P  MIL,-9,491,426/556,22.2
518,Cooper Pratt SS  MIL,-9,491,407/575,22.2
519,Jose Urquidy SP  PIT,284,492,175/750,44.4
520,Eduardo Tait C  PHI,-9,493,369/617,22.2
521,Elian Pena SS  NYM,-9,494,429/559,22.2
522,Mick Abel P  MIN,-8,498.5,478/519,22.2
523,JP Sears SP  SD,95,499,341/639,33.3
524,Ethan Conrad RF  CHC,-8,500,481/519,22.2
525,River Ryan P  LAD,-6,504,480/528,22.2
526,Nathan Lukes RF  TOR,-5,507,468/546,22.2
527,Gavin Sheets RF  SD,-4,509.5,475/544,22.2
528,Kody Clemens 1B  MIN,86,510,380/731,33.3
529,Wenceel Perez SS  DET,-5,511.5,508/515,22.2
530,Mike Yastrzemski RF  ATL,58,512,191/754,44.4
531,Jace LaViolette RF  CLE,-5,513.5,425/602,22.2
532,Charlee Soto SP  MIN,-4,514.5,378/651,22.2
533,Matt Strahm RP  KC,295,514.5,294/735,22.2
534,Tanner McDougal SP  CHW,-4,517,449/585,22.2
535,Jake Mangum CF  PIT,-4,517.5,472/563,22.2
536,Kyle Harrison SP  MIL,118,522,342/653,33.3
537,Victor Scott II OF  STL,-5,522.5,521/524,22.2
538,A.J. Ewing LF  NYM,-2,523.5,411/636,22.2
539,Garrett Whitlock RP  BOS,-5,523.5,521/526,22.2
540,Jake Meyers CF  HOU,-1,526,314/738,22.2
541,Alek Manoah SP  LAA,98,526.33,377/607,33.3
542,Zack Littell SP  CIN,-1,528.33,136/752,33.3
543,Jonny Farmelo OF  SEA,-1,528.5,504/553,22.2
544,Edgar Quero C  CHW,—,529.5,491/568,22.2
545,Tommy Troy SS  ARI,-2,529.5,372/687,22.2
546,Sean Murphy C  ATL,—,530.5,443/618,22.2
547,George Klassen SP  LAA,-2,530.5,451/610,22.2
548,Foster Griffin SP  WAS,128,531.33,353/665,33.3
549,Romy Gonzalez 2B  BOS,-1,533,508/558,22.2
550,Jonah Heim C  ATL,1,533.5,208/859,22.2
551,Riley O'Brien RP  STL,1,533.5,476/591,22.2
552,Chase Meidroth SS  CHW,-2,533.5,371/696,22.2
553,Clarke Schmidt SP  NYY,3,536.5,512/561,22.2
554,Charles Davalan OF  LAD,4,537.5,423/652,22.2
555,Ethan Salas C  SD,4,537.5,522/553,22.2
556,Kevin Alcantara CF  CHC,4,538,517/559,22.2
557,Theo Gillen OF  TB,5,538.5,479/598,22.2
558,Andres Gimenez 2B  TOR,8,539.5,537/542,22.2
559,Termarr Johnson SS  PIT,5,539.5,510/569,22.2
560,Steele Hall SS  CIN,5,539.5,492/587,22.2
561,Ethan Frey CF  HOU,6,540,455/625,22.2
562,Austin Hays LF  CHW,8,543,532/554,22.2
563,Parker Meadows CF  DET,9,543.5,483/604,22.2
564,Wei-En Lin SP  ATH,10,545,509/581,22.2
565,Jhostynxon Garcia CF  PIT,10,546.5,507/586,22.2
566,Tyler Fitzgerald CF  SF,10,548,499/597,22.2
567,Tyson Lewis SS  CIN,11,548.5,528/569,22.2
568,Connor Prielipp SP  MIN,11,549,442/656,22.2
569,Lourdes Gurriel LF  ARI,11,549,106/792,33.3
570,Josiah Gray SP  WAS,139,552,360/789,33.3
571,Ricky Tiedemann SP  TOR,12,553,505/601,22.2
572,Joe Mack C  MIA,12,553.5,460/647,22.2
573,Garrett Mitchell CF  MIL,12,554.5,474/635,22.2
574,Zach Eflin SP  BAL,179,555.33,293/695,33.3
575,Luisangel Acuna 2B  CHW,11,556,430/682,22.2
576,Isaac Collins LF  KC,11,556,554/558,22.2
577,Braylon Payne OF  MIL,13,557.5,463/652,22.2
578,Angel Genao SS  CLE,13,558.5,497/620,22.2
579,Nate George OF  BAL,15,561.5,482/641,22.2
580,Thomas Saggese SS  STL,15,562,503/621,22.2
581,Juan Sanchez 3B  TOR,15,562.5,530/595,22.2
582,Joshua Lowe RF  LAA,15,563,526/600,22.2
583,Kash Mayfield SP  SD,17,566,541/591,22.2
584,Jack Perkins P  ATH,17,566.5,468/665,22.2
585,Zack Gelof 2B  ATH,17,567,531/603,22.2
586,J.P. Crawford SS  SEA,18,567.5,552/583,22.2
587,Didier Fuentes P  ATL,18,569,513/625,22.2
588,Gage Stanifer SP  TOR,18,569.5,452/687,22.2
589,Keibert Ruiz C  WAS,382,571,285/857,22.2
590,Cooper Ingle C  CLE,17,571,514/628,22.2
591,Ben Joyce RP  LAA,17,571.5,433/710,22.2
592,Zac Veen RF  COL,19,574,419/729,22.2
593,Felnin Celesten SS  SEA,19,574,563/585,22.2
594,Nick Castellanos RF  SD,19,574.67,79/837,33.3
595,Liam Hicks C  MIA,280,575.67,189/796,33.3
596,Druw Jones OF  ARI,20,577.5,565/590,22.2
597,Chase Dollander SP  COL,24,580,409/751,22.2
598,Trevor Larnach LF  MIN,24,580.5,530/631,22.2
599,Michael Forret SP  TB,24,587,562/612,22.2
600,Christopher Morel DH  MIA,26,590.5,445/736,22.2
601,Justin Verlander SP  DET,219,595,328/758,33.3
602,Tyson Neighbors RP  BAL,27,597,390/804,22.2
603,Christian Scott SP  NYM,28,597.5,545/650,22.2
604,Esmerlyn Valdez OF  PIT,28,598,527/669,22.2
605,Xavier Neyens SS  HOU,29,599,550/648,22.2
606,Khal Stephen SP  CLE,29,599.5,538/661,22.2
607,Xavier Isaac 1B  TB,29,600,536/664,22.2
608,Brandon Marsh CF  PHI,30,600.5,582/619,22.2
609,Owen Murphy SP  ATL,28,600.5,520/681,22.2
610,Noble Meyer SP  MIA,31,602,580/624,22.2
611,Pavin Smith RF  ARI,31,604,566/642,22.2
612,Cam Collier 3B  CIN,31,604,534/674,22.2
613,Ben Hess SP  NYY,31,604.5,551/658,22.2
614,Davis Martin SP  CHW,181,606,384/718,33.3
615,Gavin Fien SS  WAS,31,607,606/608,22.2
616,Esteban Mejia SP  BAL,31,607.5,555/660,22.2
617,Abimelec Ortiz 1B  WAS,40,613,471/755,22.2
618,Kayson Cunningham SS  ARI,42,613.5,573/654,22.2
619,Dasan Hill SP  MIN,40,613.5,594/633,22.2
620,Tyler Wells SP  BAL,43,614,516/712,22.2
621,Tommy White 3B  ATH,40,614,594/634,22.2
622,Jeferson Quero C  MIL,43,614.5,596/633,22.2
623,Adrian Morejon RP  SD,44,615,421/809,22.2
624,Juneiker Caceres OF  CLE,44,616.5,547/686,22.2
625,Brad Lord P  WAS,44,617,613/621,22.2
626,Jack Wenninger SP  NYM,44,618.5,545/692,22.2
627,Johnny King SP  TOR,45,619.5,566/673,22.2
628,Clayton Beeter RP  WAS,45,620,523/717,22.2
629,Max Anderson 2B  DET,45,620.5,540/701,22.2
630,Kevin Ginkel RP  ARI,207,625.33,390/819,33.3
631,Ty Johnson SP  TB,49,626.5,522/731,22.2
632,Yoan Moncada 3B  LAA,47,626.5,599/654,22.2
633,Josh Hammond SS  KC,48,628,618/638,22.2
634,Patrick Forbes SP  ARI,49,629,605/653,22.2
635,Jonathon Long 3B  CHC,49,629,616/642,22.2
636,Devin Taylor LF  ATH,52,632.5,629/636,22.2
637,Denzel Clarke CF  ATH,52,632.5,548/717,22.2
638,Richard Fitts SP  STL,52,634.5,630/639,22.2
639,Kyle Karros 3B  COL,54,635.5,536/735,22.2
640,Robert Calaz CF  COL,52,635.5,627/644,22.2
641,Caden Dana SP  LAA,54,637.5,581/694,22.2
642,Hector Rodriguez CF  CIN,54,639.5,571/708,22.2
643,Erick Fedde SP  CHW,348,640,395/885,22.2
644,Brandon Clarke SP  STL,54,641.5,568/715,22.2
645,Luis De Leon SP  BAL,54,644,567/721,22.2
646,Gavin Stone SP  LAD,55,644.5,525/764,22.2
647,Griffin Conine RF  MIA,57,646,510/782,22.2
648,Wehiwa Aloy SS  BAL,57,646.5,584/709,22.2
649,Ike Irish C  BAL,57,646.5,627/666,22.2
650,Christian Oppor SP  CHW,57,647,574/720,22.2
651,Jose Corniell SP  TEX,57,648,496/800,22.2
652,Ronny Henriquez RP  MIA,59,650.5,401/900,22.2
653,Blaze Alexander SS  BAL,60,651,452/850,22.2
654,Seth Halvorsen P  COL,60,654,598/710,22.2
655,Jason Adam RP  SD,60,654.5,638/671,22.2
656,Josh Bell DH  MIN,60,655,529/781,22.2
657,Max Muncy SS  ATH,60,655.5,606/705,22.2
658,,60,660.5,637/684,22.2
659,Slater de Brun CF  TB,61,662,647/677,22.2
660,Luke Adams 3B  MIL,62,664.5,570/759,22.2
661,Kevin Alvarez LF  HOU,62,665,459/871,22.2
662,Ryan Johnson SP  LAA,62,665.5,562/769,22.2
663,Slade Caldwell OF  ARI,63,666.5,556/777,22.2
664,Victor Robles CF  SEA,65,669.5,600/739,22.2
665,Nelson Rada CF  LAA,65,669.5,500/839,22.2
666,Tink Hence P  STL,65,671,617/725,22.2
667,Jhonny Level SS  SF,65,671.5,582/761,22.2
668,Luis Perales SP  WAS,65,672,626/718,22.2
669,Matt Brash RP  SEA,66,672.5,657/688,22.2
670,Chris Paddack RP  MIA,244,672.67,400/812,33.3
671,Tyler Freeman 3B  COL,65,673.5,622/725,22.2
672,Chase Petty P  CIN,65,674,655/693,22.2
673,Sean Burke P  CHW,68,676,605/747,22.2
674,Bo Davidson LF  SF,69,678,634/722,22.2
675,Deyvison De Los Santos 3B  MIA,71,681.5,670/693,22.2
676,Andrew Kittredge RP  BAL,72,683,623/743,22.2
677,Trey Gregory-Alford SP  LAA,72,684,657/711,22.2
678,Heston Kjerstad DH  BAL,72,684.5,574/795,22.2
679,Jaison Chourio CF  CLE,72,685,648/722,22.2
680,Mitch Voit TWP  NYM,74,687,611/763,22.2
681,Billy Carlson SS  CHW,74,687,547/827,22.2
682,Braylon Doughty SP  CLE,74,689,646/732,22.2
683,Bishop Letson SP  MIL,75,689.5,681/698,22.2
684,Hunter Harvey RP  CHC,75,690.5,579/802,22.2
685,Cody Bradford RP  TEX,77,693,601/785,22.2
686,Sean Gamble CF  KC,75,693,643/743,22.2
687,Casey Schmitt SS  SF,76,693.5,588/799,22.2
688,Bennett Sousa RP  HOU,77,694.5,607/782,22.2
689,David Hagaman SP  ARI,77,694.5,684/705,22.2
690,Hunter Dobbins SP  STL,79,698.5,564/833,22.2
691,Ha-seong Kim 2B  ATL,79,699,683/715,22.2
692,Kevin Defrank SP  MIA,80,699.5,616/783,22.2
693,Gabriel Rincones OF  PHI,78,699.5,690/709,22.2
694,Austin Martin SS  MIN,82,703,692/714,22.2
695,Christian Encarnacion-Strand 1B  CIN,83,703.5,691/716,22.2
696,Tony Blanco 1B  PIT,84,704.5,659/750,22.2
697,Colby Thomas RF  ATH,86,706.5,685/728,22.2
698,Hayden Birdsong P  SF,86,707,584/830,22.2
699,Miguel Andujar RF  SD,87,708,662/754,22.2
700,Santiago Suarez SP  TB,88,710,643/777,22.2
701,Demetrio Crisantes 2B  ARI,88,710,620/800,22.2
702,Cris Rodriguez RF  DET,88,711,557/865,22.2
703,Robert Stephenson RP  LAA,88,712,628/796,22.2
704,Ethan Pecko SP  HOU,89,713,673/753,22.2
705,Blake Mitchell C  KC,91,717,589/845,22.2
706,Jorge Mateo SS  ATL,91,718,662/774,22.2
707,Carlos Santana 1B  ARI,91,718.5,659/778,22.2
708,Orelvis Martinez 2B  WAS,91,718.5,671/766,22.2
709,Jonathan Santucci SP  NYM,93,719,577/861,22.2
710,Brock Wilken 3B  MIL,94,719.5,649/790,22.2
711,Gavin Lux SS  TB,94,720,576/864,22.2
712,Sung-Mun Song 2B  SD,94,720,670/770,22.2
713,Brendan Summerhill CF  TB,95,720.5,669/772,22.2
714,Juan Valera SP  BOS,99,725.5,688/763,22.2
715,Aidan Smith CF  TB,104,728,632/824,22.2
716,Antwone Kelly SP  PIT,105,730,668/792,22.2
717,Kemp Alderman OF  MIA,108,733.5,672/795,22.2
718,Seaver King SS  WAS,111,735.5,663/808,22.2
719,Michael Kopech SP  LAD,115,741,712/770,22.2
720,Miguel Ullola SP  HOU,113,741,679/803,22.2
721,Ethan Petry LF  WAS,117,743.5,711/776,22.2
722,Anderson Brito SP  HOU,117,744,744/744,22.2
723,Justin Gonzales RF  BOS,117,745,697/793,22.2
724,Cade Povich SP  BAL,126,754.5,749/760,22.2
725,Bryce Cunningham SP  NYY,132,760,729/791,22.2
726,David Festa P  MIN,132,760.5,737/784,22.2
727,Lane Thomas RF  KC,133,761.5,699/824,22.2
728,Alejandro Rosario SP  WAS,133,762.5,760/765,22.2
729,David Davalillo SP  TEX,133,763.5,680/847,22.2
730,Tyler Locklear 3B  ARI,135,765,713/817,22.2
731,Quentin Young SS  MIN,135,765.5,730/801,22.2
732,Alex Clemmey SP  WAS,136,766.5,740/793,22.2
733,Warming Bernabel 3B  WAS,136,767,740/794,22.2
734,Bryce Elder SP  ATL,137,767.5,762/773,22.2
735,Javier Baez SS  DET,141,769.5,742/797,22.2
736,Mitch Bratt SP  ARI,143,771.5,733/810,22.2
737,Gavin Kilen SS  SF,144,773,658/888,22.2
738,Cole Carrigg C  COL,147,775,707/843,22.2
739,Jared Triolo 3B  PIT,162,795,695/895,22.2
740,Aaron Civale SP  ATH,160,795,780/810,22.2
741,Yordanny Monegro SP  BOS,161,798,798/798,22.2
742,David Hamilton SS  MIL,162,799.5,785/814,22.2
743,Eric Lauer SP  TOR,181,815.5,791/840,22.2
744,Kyle DeBarge 2B  MIN,181,816,794/838,22.2
745,Yorger Bautista CF  SEA,182,817,816/818,22.2
746,Jefferson Rojas SS  CHC,187,820.5,762/879,22.2
747,Miguel Mendez SP  SD,206,832.5,776/889,22.2
748,Yairo Padilla SS  STL,209,836.5,797/876,22.2
749,Thayron Liranzo C  DET,213,847.5,826/869,22.2
