RK,WSID,Player Name,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
435,,Nathan Lukes (TOR),OF85,415,415,415,0,-
436,,Ben Joyce (LAA),RP46,416,416,416,0,-
437,,Mike Burrows (PIT),"SP,RP22",417,417,417,0,-
438,,Camilo Doval (NYY),RP47,418,418,418,0,-
439,,Aaron Ashby (MIL),RP48,419,419,419,0,-
440,,Keegan Akin (BAL),"SP,RP23",420,420,420,0,-
441,,Shawn Armstrong (FA),"SP,RP24",422,422,422,0,-
442,,Taj Bradley (MIN),SP111,423,423,423,0,-
443,,Cristian Javier (HOU),SP112,424,424,424,0,-
444,,Max Meyer (MIA),SP113,425,425,425,0,-
445,,Luis Morales (ATH),SP114,426,426,426,0,-
446,,Rhys Hoskins (FA),1B30,429,429,429,0,-
447,,Christian Moore (LAA),2B33,430,430,430,0,-
448,,Jacob Lopez (ATH),SP115,432,432,432,0,-
449,,Romy Gonzalez (BOS),2B34,433,433,433,0,-
450,,Mick Abel (MIN),SP116,434,434,434,0,-
451,,Bryan Baker (TB),RP49,435,435,435,0,-
452,,Kody Clemens (MIN),1B31,436,436,436,0,-
453,,Brandon Sproat (NYM),SP117,437,437,437,0,-
454,,Travis Bazzana (CLE),2B35,438,438,438,0,-
455,,Dean Kremer (BAL),SP118,439,439,439,0,-
456,,Joe Boyle (TB),SP119,440,440,440,0,-
457,,Matt Strahm (PHI),RP50,442,442,442,0,-
458,,Michael Soroka (FA),"SP,RP25",443,443,443,0,-
459,,Ronny Mauricio (NYM),2B36,445,445,445,0,-
460,,Thomas White (MIA),SP120,446,446,446,0,-
461,,Aidan Miller (PHI),SS38,449,449,449,0,-
462,,Jared Jones (PIT),SP121,450,450,450,0,-
463,,Zack Gelof (ATH),2B37,454,454,454,0,-
464,,Denzel Clarke (ATH),OF86,456,456,456,0,-
465,,Jorge Soler (LAA),OF87,457,457,457,0,-
466,,Heriberto Hernandez (MIA),OF88,458,458,458,0,-
467,,Walker Jenkins (MIN),OF89,459,459,459,0,-
468,,Kyle Harrison (BOS),"SP,RP26",460,460,460,0,-
469,,C.J. Kayfus (CLE),1B32,462,462,462,0,-
470,,Brayan Rocchio (CLE),SS39,464,464,464,0,-
471,,Lane Thomas (FA),OF90,465,465,465,0,-
472,,Jonny DeLuca (TB),OF91,466,466,466,0,-
473,,Carson Williams (TB),SS40,467,467,467,0,-
474,,Cade Povich (BAL),SP122,468,468,468,0,-
475,,Javier Baez (DET),SS41,469,469,469,0,-
476,,Austin Martin (MIN),2B38,470,470,470,0,-
477,,Casey Schmitt (SF),3B31,471,471,471,0,-
478,,Christian Scott (NYM),SP123,472,472,472,0,-
479,,Jose Alvarado (PHI),RP51,473,473,473,0,-
480,,Brooks Baldwin (CWS),2B39,474,474,474,0,-
481,,Rhett Lowder (CIN),SP124,475,475,475,0,-
482,,Zac Veen (COL),OF92,476,476,476,0,-
483,,Corbin Burnes (ARI),SP125,477,477,477,0,-
484,,Justin Verlander (FA),SP126,478,478,478,0,-
485,,Jacob Latz (TEX),"SP,RP27",479,479,479,0,-
486,,Ben Brown (CHC),"SP,RP28",480,480,480,0,-
487,,Tyler Freeman (COL),SS42,481,481,481,0,-
488,,J.T. Ginn (ATH),"SP,RP29",482,482,482,0,-
489,,Pavin Smith (ARI),1B33,483,483,483,0,-
490,,Kumar Rocker (TEX),SP127,484,484,484,0,-
491,,AJ Blubaugh (HOU),"SP,RP30",485,485,485,0,-
492,,Mike Yastrzemski (FA),OF93,487,487,487,0,-
493,,Kyle Higashioka (TEX),C40,488,488,488,0,-
494,,Pedro Pages (STL),C41,489,489,489,0,-
495,,Joe Mack (MIA),C42,490,490,490,0,-
496,,Colt Emerson (SEA),SS43,491,491,491,0,-
497,,Johan Oviedo (PIT),SP128,492,492,492,0,-
498,,Owen Caissie (CHC),OF94,493,493,493,0,-
499,,Eric Lauer (TOR),"SP,RP31",496,496,496,0,-
500,,Brady House (WSH),3B32,497,497,497,0,-
501,,Gabriel Arias (CLE),3B33,498,498,498,0,-
502,,Ryan Mountcastle (BAL),1B34,499,499,499,0,-
503,,Joey Bart (PIT),C43,500,500,500,0,-
504,,Nolan Gorman (STL),2B40,501,501,501,0,-
505,,Brice Matthews (HOU),SS44,502,502,502,0,-
506,,Max Scherzer (FA),SP129,503,503,503,0,-
507,,Trevor McDonald (SF),"SP,RP32",504,504,504,0,-
508,,Carson Benge (NYM),OF95,505,505,505,0,-
509,,Emmanuel Rodriguez (MIN),OF96,506,506,506,0,-
510,,Jake Meyers (HOU),OF97,507,507,507,0,-
511,,Robert Gasser (MIL),SP130,508,508,508,0,-
512,,Miguel Andujar (FA),OF98,509,509,509,0,-
513,,Jack Perkins (FA),"SP,RP33",510,510,510,0,-
514,,Max Clark (DET),OF99,511,511,511,0,-
515,,Harry Ford (SEA),C44,512,512,512,0,-
516,,Joc Pederson (TEX),OF100,513,513,513,0,-
517,,Jeferson Quero (MIL),C45,514,514,514,0,-
518,,Jett Williams (NYM),SS45,515,515,515,0,-
519,,Sean Burke (CWS),"SP,RP34",516,516,516,0,-
520,,Colby Thomas (ATH),OF101,517,517,517,0,-
521,,Luke Raley (SEA),OF102,518,518,518,0,-
522,,Nasim Nunez (WSH),SS46,519,519,519,0,-
523,,Grant Holmes (ATL),"SP,RP35",520,520,520,0,-
524,,Brad Keller (FA),RP52,521,521,521,0,-
525,,Adrian Del Castillo (ARI),C46,522,522,522,0,-
526,,Elmer Rodriguez-Cruz (NYY),SP131,523,523,523,0,-
527,,Christian Encarnacion-Strand (CIN),1B35,524,524,524,0,-
528,,Connor Phillips (CIN),"SP,RP36",525,525,525,0,-
529,,Garrett Mitchell (MIL),OF103,526,526,526,0,-
530,,Robert Hassell III (WSH),OF104,527,527,527,0,-
531,,JoJo Romero (STL),RP53,528,528,528,0,-
532,,Justin Wrobleski (LAD),"SP,RP37",529,529,529,0,-
533,,Matt Svanson (STL),RP54,530,530,530,0,-
534,,Joshua Baez (STL),OF105,531,531,531,0,-
535,,Jeremiah Jackson (BAL),SS47,532,532,532,0,-
536,,Danny Jansen (FA),C47,533,533,533,0,-
537,,Braxton Garrett (MIA),SP132,534,534,534,0,-
538,,Gavin Lux (CIN),2B41,535,535,535,0,-
539,,JR Ritchie (ATL),SP133,536,536,536,0,-
540,,Colin Rea (CHC),"SP,RP38",537,537,537,0,-
541,,Quinn Mathews (STL),SP134,538,538,538,0,-
542,,Lucas Erceg (KC),RP55,539,539,539,0,-
543,,Charlie Condon (COL),3B34,540,540,540,0,-
544,,Stephen Kolek (KC),"SP,RP39",541,541,541,0,-
545,,Christopher Morel (FA),2B42,542,542,542,0,-
546,,Eric Wagaman (MIA),3B35,543,543,543,0,-
547,,Max Kepler (FA),OF106,544,544,544,0,-
548,,Louis Varland (TOR),"SP,RP40",545,545,545,0,-
549,,Blaze Alexander (ARI),SS48,546,546,546,0,-
550,,Griffin Conine (MIA),OF107,547,547,547,0,-
551,,Thomas Saggese (STL),2B43,548,548,548,0,-
552,,Otto Kemp (PHI),3B36,549,549,549,0,-
553,,Cody Ponce (FA),RP56,550,550,550,0,-
554,,Alek Thomas (ARI),OF108,551,551,551,0,-
555,,Masataka Yoshida (BOS),OF109,552,552,552,0,-
556,,Janson Junk (MIA),"SP,RP41",553,553,553,0,-
557,,Kyle Leahy (STL),RP57,554,554,554,0,-
558,,Hayden Birdsong (SF),"SP,RP42",555,555,555,0,-
559,,Nick Martinez (FA),"SP,RP43",556,556,556,0,-
560,,Angel Martinez (CLE),LF2,557,557,557,0,-
561,,Spencer Arrighetti (HOU),SP135,558,558,558,0,-
562,,Nick Yorke (PIT),2B44,559,559,559,0,-
563,,Tim Tawa (ARI),2B45,560,560,560,0,-
564,,Matt Vierling (DET),OF110,561,561,561,0,-
565,,Seth Halvorsen (COL),RP58,562,562,562,0,-
566,,JJ Bleday (FA),OF111,564,564,564,0,-
567,,Kai-Wei Teng (SF),"SP,RP44",565,565,565,0,-
568,,Javier Sanoja (MIA),2B46,566,566,566,0,-
569,,Daniel Schneemann (CLE),SS49,567,567,567,0,-
570,,JP Sears (SD),SP136,568,568,568,0,-
571,,Cole Young (SEA),SS50,569,569,569,0,-
572,,Foster Griffin (FA),RP59,570,570,570,0,-
573,,Sebastian Walcott (TEX),SS51,571,571,571,0,-
574,,Luis Matos (SF),OF112,572,572,572,0,-
575,,Kutter Crawford (BOS),SP137,573,573,573,0,-
576,,Brad Lord (WSH),"SP,RP45",574,574,574,0,-
577,,Hunter Gaddis (CLE),RP60,575,575,575,0,-
578,,Jaxon Wiggins (CHC),SP138,576,576,576,0,-
